From,To,Intensity,Fuel,Value
2021-08-03T11:30Z,2021-08-03T12:00Z,113,hydro,0.1
2021-08-03T11:30Z,2021-08-03T12:00Z,113,solar,10.2
2021-08-03T11:30Z,2021-08-03T12:00Z,113,wind,1.1
2021-08-03T12:00Z,2021-08-03T12:30Z,115,biomass,0.0
2021-08-03T12:00Z,2021-08-03T12:30Z,115,coal,0.0
2021-08-03T12:00Z,2021-08-03T12:30Z,115,imports,64.9
2021-08-03T12:00Z,2021-08-03T12:30Z,115,gas,24.7
2021-08-03T12:00Z,2021-08-03T12:30Z,115,nuclear,0.0
2021-08-03T12:00Z,2021-08-03T12:30Z,115,other,0.0
2021-08-03T12:00Z,2021-08-03T12:30Z,115,hydro,0.1
2021-08-03T12:00Z,2021-08-03T12:30Z,115,solar,9.1
2021-08-03T12:00Z,2021-08-03T12:30Z,115,wind,1.2
2021-08-03T12:30Z,2021-08-03T13:00Z,117,biomass,0.0
2021-08-03T12:30Z,2021-08-03T13:00Z,117,coal,0.0
2021-08-03T12:30Z,2021-08-03T13:00Z,117,imports,65.4
2021-08-03T12:30Z,2021-08-03T13:00Z,117,gas,25.0
2021-08-03T12:30Z,2021-08-03T13:00Z,117,nuclear,0.0
2021-08-03T12:30Z,2021-08-03T13:00Z,117,other,0.0
2021-08-03T12:30Z,2021-08-03T13:00Z,117,hydro,0.0
2021-08-03T12:30Z,2021-08-03T13:00Z,117,solar,8.4
2021-08-03T12:30Z,2021-08-03T13:00Z,117,wind,1.2
2021-08-03T13:00Z,2021-08-03T13:30Z,119,biomass,0.0
2021-08-03T13:00Z,2021-08-03T13:30Z,119,coal,0.0
2021-08-03T13:00Z,2021-08-03T13:30Z,119,imports,65.1
2021-08-03T13:00Z,2021-08-03T13:30Z,119,gas,25.7
2021-08-03T13:00Z,2021-08-03T13:30Z,119,nuclear,0.0
2021-08-03T13:00Z,2021-08-03T13:30Z,119,other,0.0
2021-08-03T13:00Z,2021-08-03T13:30Z,119,hydro,0.0
2021-08-03T13:00Z,2021-08-03T13:30Z,119,solar,7.8
2021-08-03T13:00Z,2021-08-03T13:30Z,119,wind,1.3
2021-08-03T13:30Z,2021-08-03T14:00Z,119,biomass,0.0
2021-08-03T13:30Z,2021-08-03T14:00Z,119,coal,0.0
2021-08-03T13:30Z,2021-08-03T14:00Z,119,imports,65.7
2021-08-03T13:30Z,2021-08-03T14:00Z,119,gas,25.5
2021-08-03T13:30Z,2021-08-03T14:00Z,119,nuclear,0.0
2021-08-03T13:30Z,2021-08-03T14:00Z,119,other,0.0
2021-08-03T13:30Z,2021-08-03T14:00Z,119,hydro,0.0
2021-08-03T13:30Z,2021-08-03T14:00Z,119,solar,7.2
2021-08-03T13:30Z,2021-08-03T14:00Z,119,wind,1.5
2021-08-03T14:00Z,2021-08-03T14:30Z,119,biomass,0.0
2021-08-03T14:00Z,2021-08-03T14:30Z,119,coal,0.0
2021-08-03T14:00Z,2021-08-03T14:30Z,119,imports,66.0
2021-08-03T14:00Z,2021-08-03T14:30Z,119,gas,25.6
2021-08-03T14:00Z,2021-08-03T14:30Z,119,nuclear,0.0
2021-08-03T14:00Z,2021-08-03T14:30Z,119,other,0.0
2021-08-03T14:00Z,2021-08-03T14:30Z,119,hydro,0.1
2021-08-03T14:00Z,2021-08-03T14:30Z,119,solar,6.8
2021-08-03T14:00Z,2021-08-03T14:30Z,119,wind,1.5
2021-08-03T14:30Z,2021-08-03T15:00Z,120,biomass,0.0
2021-08-03T14:30Z,2021-08-03T15:00Z,120,coal,0.0
2021-08-03T14:30Z,2021-08-03T15:00Z,120,imports,66.4
2021-08-03T14:30Z,2021-08-03T15:00Z,120,gas,25.6
2021-08-03T14:30Z,2021-08-03T15:00Z,120,nuclear,0.0
2021-08-03T14:30Z,2021-08-03T15:00Z,120,other,0.0
2021-08-03T14:30Z,2021-08-03T15:00Z,120,hydro,0.1
2021-08-03T14:30Z,2021-08-03T15:00Z,120,solar,6.2
2021-08-03T14:30Z,2021-08-03T15:00Z,120,wind,1.6
2021-08-03T15:00Z,2021-08-03T15:30Z,113,biomass,0.0
2021-08-03T15:00Z,2021-08-03T15:30Z,113,coal,0.0
2021-08-03T15:00Z,2021-08-03T15:30Z,113,imports,68.6
2021-08-03T15:00Z,2021-08-03T15:30Z,113,gas,23.9
2021-08-03T15:00Z,2021-08-03T15:30Z,113,nuclear,0.0
2021-08-03T15:00Z,2021-08-03T15:30Z,113,other,0.0
2021-08-03T15:00Z,2021-08-03T15:30Z,113,hydro,0.1
2021-08-03T15:00Z,2021-08-03T15:30Z,113,solar,5.9
2021-08-03T15:00Z,2021-08-03T15:30Z,113,wind,1.5
2021-08-03T15:30Z,2021-08-03T16:00Z,111,biomass,0.0
2021-08-03T15:30Z,2021-08-03T16:00Z,111,coal,0.0
2021-08-03T15:30Z,2021-08-03T16:00Z,111,imports,69.3
2021-08-03T15:30Z,2021-08-03T16:00Z,111,gas,23.3
2021-08-03T15:30Z,2021-08-03T16:00Z,111,nuclear,0.0
2021-08-03T15:30Z,2021-08-03T16:00Z,111,other,0.0
2021-08-03T15:30Z,2021-08-03T16:00Z,111,hydro,0.2
2021-08-03T15:30Z,2021-08-03T16:00Z,111,solar,5.6
2021-08-03T15:30Z,2021-08-03T16:00Z,111,wind,1.6
2021-08-03T16:00Z,2021-08-03T16:30Z,106,biomass,0.0
2021-08-03T16:00Z,2021-08-03T16:30Z,106,coal,0.0
2021-08-03T16:00Z,2021-08-03T16:30Z,106,imports,71.1
2021-08-03T16:00Z,2021-08-03T16:30Z,106,gas,22.2
2021-08-03T16:00Z,2021-08-03T16:30Z,106,nuclear,0.0
2021-08-03T16:00Z,2021-08-03T16:30Z,106,other,0.0
2021-08-03T16:00Z,2021-08-03T16:30Z,106,hydro,0.4
2021-08-03T16:00Z,2021-08-03T16:30Z,106,solar,4.8
2021-08-03T16:00Z,2021-08-03T16:30Z,106,wind,1.5
2021-08-03T16:30Z,2021-08-03T17:00Z,107,biomass,0.0
2021-08-03T16:30Z,2021-08-03T17:00Z,107,coal,0.0
2021-08-03T16:30Z,2021-08-03T17:00Z,107,imports,71.8
2021-08-03T16:30Z,2021-08-03T17:00Z,107,gas,22.3
2021-08-03T16:30Z,2021-08-03T17:00Z,107,nuclear,0.0
2021-08-03T16:30Z,2021-08-03T17:00Z,107,other,0.0
2021-08-03T16:30Z,2021-08-03T17:00Z,107,hydro,0.6
2021-08-03T16:30Z,2021-08-03T17:00Z,107,solar,3.8
2021-08-03T16:30Z,2021-08-03T17:00Z,107,wind,1.6
2021-08-03T17:00Z,2021-08-03T17:30Z,110,biomass,0.0
2021-08-03T17:00Z,2021-08-03T17:30Z,110,coal,0.0
2021-08-03T17:00Z,2021-08-03T17:30Z,110,imports,71.3
2021-08-03T17:00Z,2021-08-03T17:30Z,110,gas,23.4
2021-08-03T17:00Z,2021-08-03T17:30Z,110,nuclear,0.0
2021-08-03T17:00Z,2021-08-03T17:30Z,110,other,0.0
2021-08-03T17:00Z,2021-08-03T17:30Z,110,hydro,0.8
2021-08-03T17:00Z,2021-08-03T17:30Z,110,solar,2.9
2021-08-03T17:00Z,2021-08-03T17:30Z,110,wind,1.6
2021-08-03T17:30Z,2021-08-03T18:00Z,113,biomass,0.0
2021-08-03T17:30Z,2021-08-03T18:00Z,113,coal,0.0
2021-08-03T17:30Z,2021-08-03T18:00Z,113,imports,71.5
2021-08-03T17:30Z,2021-08-03T18:00Z,113,gas,24.2
